id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1571,Baram Than,Odisha,,22.009445,86.691497,,,,approved,,
1572,Sithal Than,West Bengal,,23.468463,87.556917,,,,approved,,
1573,Manasa Than,West Bengal,,22.618876,87.389137,,,,approved,,
1574,Kali Than,West Bengal,,23.604556,88.171420,,,,approved,,
1575,akirthan,West Bengal,,22.439621,87.312726,,,,approved,,
1576,Pakul,West Bengal,,22.408043,87.357701,,,,approved,,
1577,shilvia,West Bengal,,22.108108,87.771980,,,,approved,,
1578,maruja,Odisha,,21.778899,86.306900,,,,approved,,
1579,nitund,West Bengal,,22.284188,88.509495,,,,approved,,
1580,sthan,West Bengal,,23.644455,88.270634,,,,approved,,
1581,balam than,Jharkhand,,22.464163,85.837796,,,,approved,,
1582,Cholia Sabarkantha,Gujarat,,24.313396,73.072812,,,,approved,,
1583,Dotad Sabarkantha,Gujarat,,24.285545,73.037514,,,,approved,,
1584,Movatpura Sabarkantha,Gujarat,,23.870084,72.864356,,,,approved,,
1585,Sakarda Chosala Dahod,Gujarat,,22.889144,74.241486,,,,approved,,
1586,Kota village near sanjeli Dahod,Gujarat,,23.066684,73.971015,,,,approved,,
1587,Mukteshwar Banaskantha,Gujarat,,24.046054,72.638340,,,,approved,,
1588,Cholia Banaskantha,Gujarat,,24.313552,73.067319,,,,approved,,
1589,Ganer Banaskantha,Gujarat,,24.318818,73.088628,,,,approved,,
1590,Rinchadi Jetvas Banaskantha,Gujarat,,24.317636,72.868344,,,,approved,,
1591,Kheraniumbari Banaskantha,Gujarat,,24.332328,72.833570,,,,approved,,
1592,Khermal Banaskantha,Gujarat,,24.220914,72.895023,,,,approved,,
1593,Pataliya Banaskantha,Gujarat,,23.883740,72.815699,,,,approved,,
1594,Khuniya(Amirgad) Banaskantha,Gujarat,,24.352628,72.640531,,,,approved,,
1595,Pedagara Banaskantha,Gujarat,,24.231060,72.551274,,,,approved,,
1596,Khara Banaskantha,Gujarat,,23.527271,72.297319,,,,approved,,
1597,Surela Banaskantha,Gujarat,,24.316206,72.584615,,,,approved,,
1598,Shravan Kavadia temple,Gujarat,,23.404520,69.968086,,,,approved,,
1599,Chhibadi Mata Dantral Sabarkantha,Gujarat,,24.322135,73.029418,,,,approved,,
1600,Mevadwala/Devda Bhagvan Malvas Sabarkantha,Gujarat,,24.275729,73.101014,,,,approved,,
1601,Panchkrishna Therka Dahod,Gujarat,,23.070000,74.208579,,,,approved,,
1602,Ghugardev Mahadev Chhakaliya village Dahod,Gujarat,,21.152379,73.451963,,,,approved,,
1603,Samathi Baba Bholanath Jalbera,Haryana,,30.314904,76.772922,,,,approved,,
1604,Gurudwara Pehowa Jurasi Khurd,Haryana,,29.983662,76.583775,,,,approved,,
1605,Samadhi Baba Bahironath Kalasa,Haryana,,30.055843,76.522044,,,,approved,,
1606,Baba Gabirnath Karah,Haryana,,30.049307,76.501129,,,,approved,,
1607,Pranchi Shivji Mandir Pehowa,Haryana,,29.980626,76.577689,,,,approved,,
1608,Shrawan Nath Sarbhangi Bhorsaida,Haryana,,29.963215,76.692613,,,,approved,,
1609,Dera Sarbhangi Bakhali,Haryana,,30.020614,76.519217,,,,approved,,
1610,Temple Shiwala Shahabad,Haryana,,30.167949,76.867222,,,,approved,,
1611,Samabhi baba Bholanath Ismailabad,Haryana,,30.112833,76.667082,,,,approved,,
1612,Shiv Mandir Gorkha,Haryana,,30.144942,76.716907,,,,approved,,
1613,Shiwala Deh Pehowa,Haryana,,29.985533,76.572883,,,,approved,,
1614,Mani Goga Peer Chapara,Haryana,,30.259267,76.994606,,,,approved,,
1615,Manhofai Manhofai Village,Arunachal Pradesh,,27.734379,95.924686,,,,approved,,
1616,Momong Momong Village,Arunachal Pradesh,,27.794662,95.992710,,,,approved,,
1617,Namsai Pariyatti Sasana Buddhistu,Arunachal Pradesh,,27.664558,95.858513,,,,approved,,
1618,Takae Sacred Forest Bump Village,Arunachal Pradesh,,27.599402,91.809883,,,,approved,,
1619,Namet Namet Basti,Arunachal Pradesh,,27.593810,91.863913,,,,approved,,
1620,G. Naymgal Lhatse Sheyo Basti,Arunachal Pradesh,,27.999545,96.696028,,,,approved,,
1621,Grang Yang Village,Arunachal Pradesh,,27.341630,92.256320,,,,approved,,
1622,Lower Shera Basti,Arunachal Pradesh,,27.159270,92.148892,,,,approved,,
1623,G. G. Rabgyeling Bomdila Bazar,Arunachal Pradesh,,27.268396,92.416434,,,,approved,,
1624,Bomdila Bazar Line Bomdila Bazar,Arunachal Pradesh,,27.268323,92.423558,,,,approved,,
1625,Regilling Damnian Basti,Arunachal Pradesh,,27.584774,91.809753,,,,approved,,
1626,Gomluk Gumpa forest Dirang Basti West Kameng,Arunachal Pradesh,,27.352704,92.272189,,,,approved,,
1627,Lieung sacred forest Lieung Basti West Kameng,Arunachal Pradesh,,27.215207,92.927200,,,,approved,,
1628,Sangeechulen Gumpa forest,Arunachal Pradesh,,27.197917,92.486305,,,,approved,,
1629,Khadun Gumpa forest Dirang Basti West Kameng,Arunachal Pradesh,,27.336846,92.284548,,,,approved,,
1630,Kalchakar Gumpa forest Jyoti Nagar West Kameng,Arunachal Pradesh,,27.361092,92.234517,,,,approved,,
1631,Gontse Gaden Rabgyeling -1 Gumpa forest Bomdila Bazar West Kameng,Arunachal Pradesh,,27.262754,92.419438,,,,approved,,
1632,Kharsa Basti Pharmang forest kharsa Basti Tawang,Arunachal Pradesh,,27.546014,91.989742,,,,approved,,
1633,Jung Bara Basti Dudstang forest Jung Bara Basti Tawang,Arunachal Pradesh,,27.581318,91.972327,,,,approved,,
1634,Kharsa Basti Dudstang forest Kharsa Basti Tawang,Arunachal Pradesh,,27.549819,91.991802,,,,approved,,
1635,Khartung Basti Dudstang forest,Arunachal Pradesh,,27.495755,91.743107,,,,approved,,
1636,Dungarmani Gumpa forest Namazing Basti Tawang,Arunachal Pradesh,,27.545873,91.979795,,,,approved,,
1637,Brakar Gumpa forest Lhou Village Tawang,Arunachal Pradesh,,27.584238,91.947734,,,,approved,,
1638,Khirmu sacred forest Khirmu Village Tawang,Arunachal Pradesh,,27.565893,91.890678,,,,approved,,
1639,Sharmang Gumpa forest Namet Basti,Arunachal Pradesh,,27.589550,91.858248,,,,approved,,
1640,Lebrang Gumpa forest Lebrang Basti Tawang,Arunachal Pradesh,,27.581824,91.835034,,,,approved,,
1641,Khinmey Gumpa forest Khinmey Village Tawang,Arunachal Pradesh,,27.585111,91.855976,,,,approved,,
1642,Yang sacred forest Chambu Village Tawang,Arunachal Pradesh,,27.087234,93.594410,,,,approved,,
1643,Neharu Gumpa forest Tawang,Arunachal Pradesh,,27.082084,93.602032,,,,approved,,
1644,Kyong Thervada Gumpa forest Papumpare,Arunachal Pradesh,,27.165932,93.447591,,,,approved,,
1645,Devi Patan,Uttar Pradesh,,27.524812,82.415640,,,,approved,,
1646,Mangali Nath,Haryana,,29.040581,75.735798,,,,approved,,
1647,Karikot,Uttar Pradesh,,28.260394,81.152383,,,,approved,,
1648,Vibhuti Nath,Uttar Pradesh,,27.789406,82.139325,,,,approved,,
1649,Beriya Samaya Khalilpur Bahraich,Uttar Pradesh,,27.533175,81.652556,,,,approved,,
